review_id,review_date,reviews,product_id,ratings,order_id
7381de2b-873c-4d3e-974a-c86567e6cbd6,2023-11-12,No comment,5PD3DD3YD39,4,004023f8-89c0-462d-8d0b-ebdaae4ac544
03b146d7-7bfd-4074-90a6-97f38dc711a4,2023-12-13,No comment,6VT4TC0AD68,2,004c93e0-dfc1-4190-bba7-2a018079b354
0b853865-fb40-4afe-9feb-0e307f1cb257,2023-10-06,I've had a positive experience with this product overall,5CQ1KE2YU33,4,02f693bf-e952-412a-a687-24c5bc8876be
c4032ded-5bd9-4e67-923c-f7660d2d911c,2024-01-14,"Received the wrong item, completely disappointed",3HA9HX7DX66,1,03718afe-c1bb-4b2b-a4cc-837087a6bf6d
0f961022-089a-41aa-b2ac-159093298431,2023-08-15,No comment,9EU9K95PG07,4,037b0c7e-2ef2-430f-adf7-45da6ca0293f
ebefc518-e78c-4814-b6fd-ec40a089e20e,2023-07-02,"Exceptional product, highly recommend",6FR0E75YE74,5,03f2c521-f477-4212-9075-842321cd4269
ba382ed4-1e63-4596-a145-8b56631c6a91,2023-03-13,No comment,1MG5J33DQ09,5,044d5dba-3967-4dd5-8f7f-0fb67f5518a2
96875b41-5ad5-4dc0-9a41-00af962672f1,2023-06-30,"It's okay, but I expected more for the price",4KF2XX1GT05,3,04fb44c4-9197-4e8a-a72a-0161da4e0b49
9b887758-9472-4aa8-b914-b2cd08a0e47b,2023-03-31,Very impressed with the customer service and support,1D54NM0XV43,4,05ce6c75-4a20-45d9-9497-83392c0b5458
9ef46539-42b7-4601-a9a1-2cb888497ae7,2023-06-12,I'm impressed with the durability and performance of the product,7XR1KY0NP64,4,06397d42-8f44-47ae-9414-c1ec827def1f
070f30a3-0f22-4b24-be2c-cf80623dc011,2023-03-04,"Remarkable product, 5 stars all the way",8H99HV5HU19,5,069bbc33-7cb7-429e-a37e-a0ad1b58920f
f58980de-118a-45d2-b02a-f8af7f9da84c,2023-10-02,No comment,1QV1FJ6KQ49,4,0716171c-fe6f-4045-8eaa-593eada725d7
3c5c6774-91a6-4f36-8558-1826298650af,2023-05-19,"This product has been a game-changer for me, highly recommend",2H07HR3AN89,4,08e5c28d-9d95-4107-b622-83fc82f36c50
ab67fcd0-f6f7-4854-94ab-a67098accac0,2023-07-11,"The product had a strange taste/texture, couldn't consume it",9YT2TY0MJ74,2,092f1da5-82df-4b3b-803a-ef9417f13453
5161b9f6-def1-4fc5-a119-5f18104816ee,2023-06-18,"Phenomenal product, highly impressed",3UQ6JC1FJ55,5,0c4bef1e-11f0-44cb-93bb-6d236438dc9c
a7dd3d45-caaf-482d-9d30-539e69216866,2023-04-08,"Delighted with this purchase, perfect product",9WW1VF3FE02,5,0c683674-dd4b-4f93-b20a-1e420639a96c
a52257cf-a647-4858-b22e-2a5f1819ce68,2024-02-16,"Impressed beyond words, remarkable product",9Y46P59HU11,5,0c8c167f-5956-4a77-a7f9-0406c5218f48
6b373e5c-470a-43f3-896d-a997fd67c283,2024-01-20,"Impressed beyond words, outstanding quality",5Y48F97CT45,5,0cb125b7-839c-4a34-ba8b-84043cf200ce
f88f80aa-76e0-4988-81c0-82358ba5a682,2023-09-09,No comment,7K27P15UC40,5,0dbffc92-c5b3-4302-9cdd-9867306e087d
c66c5b06-5181-45dd-aae5-10a695c9f37a,2023-12-01,The product didn't come with all the necessary parts,8XR1X90AJ17,1,0dde4c19-fb4f-4f4f-b3c3-42c5151d6180
