supply_id,product_id,supplier_id
37b238ec-0e1a-4387-95bb-c2f71bacf40b,2CE0C12CN61,SUP-1901
f496a38a-7641-4524-82fa-a9a7804d0568,2K54YF3QA01,SUP-5189
34ab1055-8497-48ca-8775-bf9ddd76a7fd,8RE1K18JD08,SUP-7754
63a4b4bf-956a-4d55-bc75-3addb65e5a11,9V81JJ4PG15,SUP-1554
477b0189-c49f-4eb6-94c6-18b8ac3836e5,3NV4JV4FN23,SUP-0486
c17ab03a-767b-41f4-b288-390ded1bb3c2,8P71FQ3EY86,SUP-5540
cf1d5918-df3b-4ad2-b951-115e5323feb8,4KF2XX1GT05,SUP-1693
824e219f-db18-4637-96b1-b90da6cc7509,5RP2HA7XD88,SUP-9360
f525c199-f020-47ff-ad69-89537b16eece,9KX3R82XH17,SUP-7754
888940ed-433c-4105-ada1-18417a8c62cd,9XR3KP7YH85,SUP-6460
d9f0a163-c906-4959-9e12-0c305351b6d6,6AX3VG7UD97,SUP-7699
ade851d3-7176-4b40-b335-b747b410e86f,8KM5P47NP49,SUP-4951
09b4d88d-60eb-4b9b-95d9-df1adb66e9bb,8WK6E16EY82,SUP-4272
efba154b-eb4a-44a2-a4df-a541937fbfec,6J05DK5NE29,SUP-0814
b85ed5d3-011e-4798-b50c-ad2c54b5c9b0,1EM0JG5FQ43,SUP-2306
3699e12e-6a13-450f-8d67-5036c7cb4f66,5TD5FY6VD00,SUP-7754
dcb7fed6-4ef6-4271-b5d8-744c90253742,2CE0C12CN61,SUP-9436
622618b1-2748-4b38-8cc6-7e4d0a485144,8K16YR8YR84,SUP-2437
0c30579f-5d8d-4585-89a3-4799a63fe7af,8UD1QJ9NF11,SUP-5990
dcc129fb-27a1-4333-b0f5-aa5ee5f64b9e,1WX2GQ3PV37,SUP-0230
fdb4c9c4-0c3f-4861-97d8-ac3e2322acf4,6DH0CR6YT43,SUP-6460
22bf57a8-6232-4de2-9b50-3fb29bb684a2,2H07HR3AN89,SUP-9436
ba6e068d-d24c-4b20-a8e3-46de276f024a,9XP9JR9XM70,SUP-9734
acfdad1d-5941-489a-bf1f-71d55f1f1744,3D78VD0UW70,SUP-1146
f3b8f96b-bf4a-44b8-a5cb-04ff4b1cc051,9WF1N45DR56,SUP-0910
e031d8b5-2258-4de9-88dd-a338699c3e8f,4JY1FV4MH33,SUP-1901
1709be73-16fb-4816-a1a8-30e23a77b234,2RM0NP9TK40,SUP-2437
bc10b614-60f8-48d0-a6d2-8a343e7593b1,6FR0E75YE74,SUP-3257
a4b11e2a-d9f7-471f-98bc-10a6253ae3a2,2KD9EM9VW10,SUP-9881
34e73041-c187-4f76-b962-c3bc1b1e76e9,5Y55K16WV99,SUP-9951
ec825f1c-f212-47ff-9dc6-671d452df385,7QT1T38CQ83,SUP-1418
0674d15a-440f-4472-a9ef-c555d9c76eda,2XC2TQ0WJ43,SUP-3534
b6865321-9426-4b3b-812e-e806d953269c,8DV4JJ5MJ82,SUP-0814
8502e20f-3314-4e3e-b308-4dd1332dc204,8PX4QP8MV74,SUP-3773
08f0fc2d-154c-4908-b8cb-31d085d77b71,2KD9EM9VW10,SUP-8748
33962ff9-972d-4d2f-9140-c4576c138d91,5D72V31EC25,SUP-7754
a16d645c-990d-4cdc-b4cb-57fdf697b775,9PH6HJ5YF42,SUP-0734
baabce92-2bb9-4121-9e9a-51adcd8fbde0,3D78VD0UW70,SUP-4272
e2f52a65-5b30-4e95-b824-46fcb40a01cf,7Y38DV2DD37,SUP-8346
4b1300d5-e05e-4966-b77f-412265adbb20,9Y46P59HU11,SUP-9284
e6b2fc4b-77f5-49ac-b9c5-0458f2b78a97,3E62CP6XT50,SUP-2437
72450cc6-8ed1-4e80-9a2c-9d4ce19c2a92,9PH6HJ5YF42,SUP-5688
68a1a9ac-b749-4321-b896-89a8ec8c67cc,4GM0V18FG35,SUP-4487
49f976f5-4ca1-4935-8884-57de76a9ee7e,4FU1UA1AR86,SUP-0731
24df2899-6ac8-4448-8c98-1cf5d82e1aa4,1D54NM0XV43,SUP-5567
008727fe-7ef7-4eca-a397-3b8cf450a0c2,9WF1N45DR56,SUP-2177
8c9f38c6-401b-4611-81cb-ba8429622c66,7K27P15UC40,SUP-8040
4eda60b7-e44c-44dc-855f-7d4018ad6574,4Y66UU2MJ72,SUP-7592
aeff4b52-ba4b-4ec2-9f3c-01a23a01e322,2TY0MT9KQ10,SUP-0486
e1c519e8-921c-471d-852f-fe600c8503f0,1DC6MQ6EE31,SUP-1554
daca9612-3c4f-43e5-8a22-8a9db9db9a58,3NV4JV4FN23,SUP-2177
0964d9a8-8fa4-4c65-803c-e8eefc29df0a,8G91U37YX34,SUP-3257
6a196c65-5f40-4aba-98e9-f6b1a021cd7d,5RP2HA7XD88,SUP-9436
000644f1-aecf-452a-9777-5bd81041f29a,8TH8GX4QA76,SUP-0734
ce6a836a-4696-4910-9735-e9d40fed4611,4R43U78JR02,SUP-9881
4c26048c-4cdd-4b50-a85e-d92fe19f49d7,8D61EW8VJ60,SUP-8748
44661392-7303-478e-a779-5fc669ac8c6d,5M43E84KE58,SUP-0486
2418882c-8c65-4957-9e85-b2483aa50bfe,6AX3VG7UD97,SUP-5540
2e927969-236d-4331-96eb-faf4932959e8,9KX3R82XH17,SUP-0731
711a88f0-b7b1-4e6b-a701-faf5034ecde4,9KX3R82XH17,SUP-9734
bd0e0469-7950-4f01-8730-0f2205e4f263,9Y46P59HU11,SUP-9951
8bedf905-de6d-412f-9c7c-b0864a4a00eb,1QV1FJ6KQ49,SUP-6460
36b271a3-cf3d-4bb4-8d19-ab66014f7111,2XC2TQ0WJ43,SUP-9871
c5a5cf81-d8ed-4332-aa68-8f703e4454e5,7R17Y59UN27,SUP-2437
5e8db780-97e2-4c08-ac09-f3e58db1bfae,8VJ8PX2KH93,SUP-4366
d64aaff9-8ba3-45f3-9f8b-451b66152fcf,7CM6DA8KX99,SUP-8387
15b17c75-5daf-4e85-a06e-4cb2f85988fc,1TT9QH4NY95,SUP-3954
faf707ce-e9f5-4e5a-9a4e-26dcac815f3f,8XR1X90AJ17,SUP-1350
505758f9-acea-4a6e-8a0d-6f4561073a5d,7K66QN6UM23,SUP-8346
13d06fe7-cba2-4989-bb83-014ad7b7b6df,2H07HR3AN89,SUP-9865
0b63d43f-c5f4-4aa9-8bd4-79128544fdd7,3HR9T87HN01,SUP-4272
bb93bb22-964b-4999-ac63-aed7d680148f,1FU3M00TU09,SUP-8387
4d73fd4c-93d2-4bcf-90fa-5bcdd4048e77,8JM4FP4MX45,SUP-0731
64f72a55-d5da-4e56-93ff-492c5ad51b4f,6FR0E75YE74,SUP-2177
279f7669-9c32-40f6-9c14-a6739cc944ea,5CW2Q80YT56,SUP-5567
34aa55a6-82c6-4701-94fa-9d653a50c7fb,9ER6Q43MT36,SUP-0814
6a4921c8-00fe-4b2e-9a86-c91fe783cd7a,3MN8HA6RG92,SUP-7592
6bf8e84a-3c6a-4562-8e73-85dbd07da302,6AX3VG7UD97,SUP-9360
3c16b4e7-1389-4c7e-8020-bffa631c8d4d,2CE0C12CN61,SUP-7754
8555e5ac-9018-45b9-be71-2b99abee45de,7CM6DA8KX99,SUP-3534
bf4d9357-3193-4357-b80a-d3bc17a7135b,3E62CP6XT50,SUP-7592
9ab66017-1430-4662-8ac0-28eb58b3fce0,8WX9T98EC83,SUP-1693
e4a95a72-5ee1-4d89-a042-b2389d8c3bcc,4H53TK9DW63,SUP-9284
bca54b84-cb8c-4cb0-aeaf-9a50aab5f80c,3M83MY9QY56,SUP-7699
cb8bb590-83fb-4616-8f2c-209dfbf182b2,5DR1M38YW11,SUP-1146
be5a3087-b5b0-4624-bfd5-add6972757ad,9ER6Q43MT36,SUP-8237
e0abb0d0-4552-45aa-91b1-2149638c1737,2XC2TQ0WJ43,SUP-8949
4ea9d387-355b-49b1-94fe-8d34b88045d4,1DC6MQ6EE31,SUP-0814
adb41829-50a4-47b3-90a3-33aa2ffa6f0c,3XF7EK2MT27,SUP-4951
b0b4d084-6a66-42de-9c62-9147f7326a18,9EW2W90DW49,SUP-9284
98af4c51-ebcf-436b-848c-a78dd6e8f4e0,2RM0NP9TK40,SUP-8344
e395c1e5-3854-467e-9f08-20860c6d21b8,8RE1K18JD08,SUP-1350
0fbb7c28-66e2-4d9d-8ec1-d55b8960ab53,8E78QJ1EX29,SUP-2177
07576446-622f-41ea-9a01-38c2f04c8470,7DV8KM4QE54,SUP-1146
23cc82c8-e1a9-42ea-9bdd-6f0b50707edb,4JY1FV4MH33,SUP-4366
52a41b37-c674-4a0c-ac00-f7ba8e8b9037,5Y55K16WV99,SUP-3773
cf1a8ba5-eb41-446b-9815-89ac1b9e19fa,4FX4GD7UA53,SUP-2926
c760875d-e0c4-4d76-8404-1f469753e42d,4GU9Q60GJ24,SUP-0734
cea36df9-1f14-4bd3-963f-fb1d1927e126,3R34GN4JE61,SUP-0800
7d12b077-5078-42a1-9871-951a4722caf7,3UQ6JC1FJ55,SUP-7699
26e59762-408d-4843-83d0-36012347a179,1DC6MQ6EE31,SUP-5189
e5dd51f2-ac24-4775-a6b3-ea39b7d42f61,3CW4TY1MG99,SUP-0731
b5d8bf60-6dfc-4dd5-b4cb-a4acf3edaec5,5M43E84KE58,SUP-0814
9f68daeb-5909-4fc4-8801-73c82dd1c60a,4KF2XX1GT05,SUP-5688
