review_id,product_id,customer_id,ratings,reviews
ffe749e1-245c-4682-a4b2-61999911c8ee,4GX4PR5AC75,01HQP4D5E3M0KP9NEYE2FVJQQN,5," Impressed beyond words, remarkable product"
ffad0588-8377-48a9-9016-5fc9619d1723,3N00PW8PX33,01HQP4D5DRBHVB2EKR90AXXXA7,1," Difficult to navigate the website, very confusing"
ff87048f-cc27-481a-814a-919a35d8ce99,8DA1XD3KC42,01HQP4D6QAR0FJ1J773NFRK3TC,5," Best purchase ever, 5 stars"
fef97dec-6abc-48ad-81fd-0d5e4ff22c5d,2X83PY5FX89,01HQP4D6PR18JT16051Y0PHSNN,4,No comment
fef53abc-3190-492d-ad66-217567c9c6da,8D88J81TR58,01HQP4D5B6Y710HK4ZQ026CKVQ,4,No comment
fea6816e-a33c-4a00-8a99-e2bb41e51104,9GD0JC7JV34,01HQP4D5ZP9FPFPCG8D764R6JJ,1, Poor communication about shipping delays
fe951c97-8d1d-4f35-bab2-eea7029d3538,3WK9CN9KQ38,01HQP4D4NJRSFE84EX528YB4MF,5," Delighted with this purchase, perfect product"
fda66184-a2ca-44d5-b25e-2aaaa0ff7de3,9AA7UX3WY96,01HQP4D4NF8C9Y92K5AF672ME7,3," The quality is okay, but not exceptional"
fd971763-c539-4fbb-bdf6-b1160493df8e,2UU0U31NT70,01HQP4D61H66XGQ7MTNRVCRZZ3,5," Perfect, exactly what I needed"
fd717de8-33eb-4ada-8a4c-024d0572e90e,3N89TJ0MK58,01HQP4D614RTC5G1XYXBP6PPV0,4," This product has been a game-changer for me, highly recommend"
fc5cffa9-463e-4dd4-8953-e209cdfcb837,1FX2E79AG42,01HQP4D5BFZMKTQPT8KXTSEPKM,3," It's satisfactory, but there's room for improvement"
fc433f3a-4799-41ee-b886-dc484fb1b6d1,1F54U06HY85,01HQP4D60A3ANV6QWFRZ5NZ8AZ,4," Very happy with this purchase, it's been a great addition to my life"
fc40cb70-e3b2-4931-8c42-fa4ac0576d76,7PP3KN6RY01,01HQP4D53T6ZRWE252GCPB411Q,4, It's a solid product that does what it's supposed to
fc266d8b-2f86-436a-ba7b-22e8b8be9b66,5E50AK6RA79,01HQP4D5B6Y710HK4ZQ026CKVQ,2, The product didn't match the size/color options chosen
fb235b45-d892-475e-ba90-bdbaf3eb3e80,1YX6MJ9KF55,01HQP4D4MV3T2RE094CYEXB2GK,1," Shipping was delayed multiple times, very frustrating"
f9db2704-d95c-4910-9fe8-75a922daf163,5UA7GX9MY51,01HQP4D2ZS3Y5J8RGGP9H2DAEJ,4, I'm satisfied with the quality and performance of the product
f9375617-341c-4d2c-b8cf-afac11f94f07,1GM8PV1NK32,01HQP4D4890K3CWQW2JSP46DSQ,5," Delighted with this purchase, perfect product"
f92ad677-f932-44a1-b710-9e2442f3fdbf,5UA7GX9MY51,01HQP4D2TMV6QTFY71HRC7NRH1,5," Outstanding product, highly recommend"
f924cc3e-a64b-4ad7-8f15-3ec2130fc616,2H06Y36EJ11,01HQP4D4H9TQ5GEDR2SD3Z7D90,5,No comment
f8ce5589-829b-4156-bca1-8915f9e99a4c,2YW8QN5UJ07,01HQP4D6QAR0FJ1J773NFRK3TC,5,No comment
f8973352-a5fe-4455-a6f1-8f7c2b7d6913,8UP3V81GX98,01HQP4D608930RB6HX2BWWTFEF,5," Couldn't be happier with this purchase, 5 stars"
f88f80aa-76e0-4988-81c0-82358ba5a682,6MG9CW7YG47,01HQP4D6P5WBMB22JXPW1FXS80,5,No comment
f886d8d4-66af-4780-b7f1-705886c4e205,2JD8MP8KK14,01HQP4D17VG4JJKNS21MWF59G7,4,No comment
f7cec9dd-f568-4ac8-8d7d-f632b640fcc8,4MD8AN7UW20,01HQP4D4THWKCB92P4E9QFR5DG,5," Thrilled with the quality, exceeded expectations"
f7cb232c-15b0-45c3-af51-f9473c45f73f,7QY7XJ6JW20,01HQP4D5AM61PXPXZJT7GC0MTC,5," Perfect product, highly satisfied"
f7b9c45d-7347-4d28-9cea-da198b2030f5,4M05DG3XX22,01HQP4D30AFFT7EB653H6XEDVY,4, The product arrived quickly and was exactly as described
f6e36241-6e0f-4e02-8a62-528102448637,9HH2HF5CP91,01HQP4D6FZH084M1Y5DZ77XRB5,5," Amazing value for money, 5 stars"
f6c86665-3965-44f3-969f-e94b17ef4753,9AA7UX3WY96,01HQP4D54ARTAPR25KY7W60EWH,5," Couldn't be happier with this purchase, highly recommend"
f6c618e4-e4fb-4793-8fd8-932b1641833e,2J06NR2VU39,01HQP4D5BD6JG72TSRRDYQ5ZZN,5," Exceptional product, highly recommend"
f6a2fd9d-3229-48c3-b5bc-61bb95491232,9UX1D98JC28,01HQP4D48XWWENVPASC5GP7WK3,1, Packaging was torn and item looked used
f5f55585-a545-4e77-a258-e4687b513aea,7PQ1XP7DF92,01HQP4D6DR2YJS5QXHGY14R64H,5," Outstanding quality, couldn't be happier"
f5c981ef-00ba-475e-9636-545d3c38f644,7X49HC6XR40,01HQP4D5EJKFKFDW1E7CA1C5H8,2,No comment
f5c67d43-90d9-4c4c-a0f5-e999d9abe955,9MV1GY1VF33,01HQP4D6DXTW8PDXQYYHKNGE6E,4," It's a great product for the price, definitely recommend"
f58980de-118a-45d2-b02a-f8af7f9da84c,9KR1QM6PD32,01HQP4D4GZMTCNSJ0P7GW153PK,4,No comment
f572ccee-786d-4621-8f66-bc4c170bdc73,3WG8M35HM11,01HQP4D47FWAPR1R0KA103FGE6,5," Exceeded all expectations, highly satisfied"
f56a193d-fe5d-426b-9a94-e42a5e487be0,5VF6G85KV72,01HQP4D02FB5HC9JT5SDWXY87Y,5," Couldn't be happier with this purchase, 5 stars"
f5637e5c-6235-42be-b142-cdf5955c801f,7K72DH9GW95,01HQP4D6C0WMXP8ZYN8R5ZRYP4,2, The product's advertised compatibility with other products was nonexistent
f553ca8f-f50f-4cda-9ef3-a3318c1debd0,4Y92YN8JV13,01HQP4D792GTC7SCF65QYSTQ4E,5," 5 stars, would buy again without hesitation"
f54f0901-fad5-49b9-b315-59b633744343,2RT2MV7CM94,01HQP4D50G5C7ZJWTP5BXRNTTY,1," Horrible customer service, no response to inquiries"
f479f427-09dc-4018-9210-494bfbb6d12d,7MY9RE0CJ22,01HQP4D1C43JTPQ0GFBB6V6PBV,5," Thrilled with the quality, highly satisfied"
f44ec57d-1c4a-4c3c-90c0-f450e437fc6d,7XN8NT0XD23,01HQP4CZTFTG4F9BVRQ2PKTDWY,5,No comment
f429d587-43ea-4589-801c-54e1bd1ebf69,3W44XR4NP88,01HQP4D4GV6M2GKBH1MC609ZR4,5,No comment
f3a46129-caa0-4f1a-ab8f-ad8e086c80c8,2RK7E78XA65,01HQP4D505V35X2K0GQYQHT4EC,5," Exceptional quality, highly recommended"
f397bfd5-832a-479d-91cc-00d1fb4a8570,2JA5G96EE59,01HQP4D1B27FPFZV8AC20YY2DV,3," It's fine for everyday use, but don't expect too much"
